date,entry_time,exit_time,entry_price,exit_price,stop,target,or_high,or_low,outcome,pnl_pts,risk_pts,r,year
2024-01-19,2024-01-19 14:50:00+00:00,2024-01-19 15:47:00+00:00,17091.4,17112.5,17047.9,17112.5,17090.1,17047.9,target,21.099999999998545,43.5,0.48505747126433435,2024
2024-01-23,2024-01-23 17:55:00+00:00,2024-01-23 20:54:00+00:00,17380.8,17419.15,17330.8,17419.15,17377.7,17301.0,target,38.35000000000218,50.0,0.7670000000000436,2024
2024-01-24,2024-01-24 15:15:00+00:00,2024-01-24 15:36:00+00:00,17596.2,17624.95,17546.2,17624.95,17588.3,17530.8,target,28.75,50.0,0.575,2024
2024-02-02,2024-02-02 14:45:00+00:00,2024-02-02 15:42:00+00:00,17497.2,17553.2,17447.2,17553.2,17488.9,17376.9,target,56.0,50.0,1.12,2024
2024-02-07,2024-02-07 15:10:00+00:00,2024-02-07 15:24:00+00:00,17731.9,17759.45,17681.9,17759.45,17702.6,17647.5,target,27.549999999999272,50.0,0.5509999999999855,2024
2024-02-09,2024-02-09 14:50:00+00:00,2024-02-09 14:58:00+00:00,17838.5,17856.449999999997,17801.7,17856.449999999997,17837.6,17801.7,target,17.94999999999709,36.79999999999927,0.48777173913036537,2024
2024-02-12,2024-02-12 15:35:00+00:00,2024-02-12 15:52:00+00:00,17984.7,18006.45,17941.0,18006.45,17984.5,17941.0,target,21.75,43.70000000000073,0.49771167048054094,2024
2024-02-13,2024-02-13 14:50:00+00:00,2024-02-13 15:25:00+00:00,17614.8,17654.1,17564.8,17654.1,17602.4,17523.8,target,39.29999999999927,50.0,0.7859999999999855,2024
2024-02-14,2024-02-14 15:15:00+00:00,2024-02-14 15:51:00+00:00,17761.7,17711.7,17711.7,17799.25,17754.8,17679.7,stop,-50.0,50.0,-1.0,2024
2024-02-21,2024-02-21 15:00:00+00:00,2024-02-21 15:26:00+00:00,17472.9,17422.9,17422.9,17500.6,17461.6,17406.2,stop,-50.0,50.0,-1.0,2024
2024-02-27,2024-02-27 15:15:00+00:00,2024-02-27 16:29:00+00:00,17992.0,17942.0,17942.0,18034.6,17990.0,17904.8,stop,-50.0,50.0,-1.0,2024
2024-03-01,2024-03-01 15:05:00+00:00,2024-03-01 15:56:00+00:00,18138.5,18163.45,18088.5,18163.45,18109.7,18059.8,target,24.950000000000728,50.0,0.49900000000001454,2024
2024-03-08,2024-03-08 14:45:00+00:00,2024-03-08 14:57:00+00:00,18351.8,18383.85,18301.8,18383.85,18347.8,18283.7,target,32.04999999999927,50.0,0.6409999999999855,2024
2024-03-12,2024-03-12 14:20:00+00:00,2024-03-12 14:48:00+00:00,18117.1,18186.1,18067.1,18186.1,18099.3,17961.3,target,69.0,50.0,1.38,2024
2024-03-18,2024-03-18 14:20:00+00:00,2024-03-18 15:15:00+00:00,18133.7,18083.7,18083.7,18168.25,18122.2,18053.1,stop,-50.0,50.0,-1.0,2024
2024-03-19,2024-03-19 15:30:00+00:00,2024-03-19 16:24:00+00:00,17931.1,17980.15,17881.1,17980.15,17930.4,17832.3,target,49.05000000000291,50.0,0.9810000000000582,2024
2024-03-20,2024-03-20 18:00:00+00:00,2024-03-20 18:05:00+00:00,18140.2,18182.550000000003,18090.2,18182.550000000003,18111.5,18026.8,target,42.35000000000218,50.0,0.8470000000000436,2024
2024-03-25,2024-03-25 13:50:00+00:00,2024-03-25 14:11:00+00:00,18274.2,18306.65,18224.2,18306.65,18271.1,18206.2,target,32.45000000000073,50.0,0.6490000000000146,2024
2024-03-26,2024-03-26 14:00:00+00:00,2024-03-26 14:29:00+00:00,18399.6,18349.6,18349.6,18421.6,18387.6,18343.6,stop,-50.0,50.0,-1.0,2024
2024-04-03,2024-04-03 14:00:00+00:00,2024-04-03 14:15:00+00:00,18163.7,18185.5,18113.7,18185.5,18095.5,18051.9,target,21.799999999999272,50.0,0.43599999999998545,2024
2024-04-05,2024-04-05 13:45:00+00:00,2024-04-05 13:54:00+00:00,18004.3,18044.05,17954.3,18044.05,18000.7,17921.2,target,39.75,50.0,0.795,2024
2024-04-08,2024-04-08 14:25:00+00:00,2024-04-08 15:45:00+00:00,18164.7,18114.7,18114.7,18213.850000000002,18161.4,18063.1,stop,-50.0,50.0,-1.0,2024
2024-04-10,2024-04-10 14:35:00+00:00,2024-04-10 14:51:00+00:00,18051.2,18001.2,18001.2,18089.4,18026.7,17950.3,stop,-50.0,50.0,-1.0,2024
2024-04-12,2024-04-12 13:50:00+00:00,2024-04-12 14:07:00+00:00,18169.4,18119.4,18119.4,18192.050000000003,18162.2,18116.9,stop,-50.0,50.0,-1.0,2024
2024-04-16,2024-04-16 13:55:00+00:00,2024-04-16 14:15:00+00:00,17745.9,17771.300000000003,17695.9,17771.300000000003,17734.1,17683.3,target,25.400000000001455,50.0,0.5080000000000291,2024
2024-04-22,2024-04-22 13:45:00+00:00,2024-04-22 14:06:00+00:00,17192.7,17142.7,17142.7,17213.85,17172.2,17129.9,stop,-50.0,50.0,-1.0,2024
2024-04-23,2024-04-23 13:45:00+00:00,2024-04-23 13:56:00+00:00,17354.4,17386.350000000002,17304.4,17386.350000000002,17346.0,17282.1,target,31.950000000000728,50.0,0.6390000000000146,2024
2024-04-26,2024-04-26 13:50:00+00:00,2024-04-26 14:12:00+00:00,17656.8,17704.5,17606.8,17704.5,17639.6,17544.2,target,47.70000000000073,50.0,0.9540000000000145,2024
2024-05-03,2024-05-03 13:45:00+00:00,2024-05-03 14:00:00+00:00,17891.6,17919.15,17841.6,17919.15,17872.4,17817.3,target,27.55000000000291,50.0,0.5510000000000582,2024
2024-05-06,2024-05-06 13:55:00+00:00,2024-05-06 18:04:00+00:00,18013.4,18042.15,17963.4,18042.15,18004.4,17946.9,target,28.75,50.0,0.575,2024
2024-05-08,2024-05-08 13:45:00+00:00,2024-05-08 14:04:00+00:00,18061.9,18084.100000000002,18011.9,18084.100000000002,18032.9,17988.5,target,22.200000000000728,50.0,0.44400000000001455,2024
2024-05-10,2024-05-10 13:45:00+00:00,2024-05-10 14:01:00+00:00,18249.6,18199.6,18199.6,18286.699999999997,18238.8,18164.6,stop,-50.0,50.0,-1.0,2024
2024-05-14,2024-05-14 14:20:00+00:00,2024-05-14 14:28:00+00:00,18261.0,18286.85,18211.0,18286.85,18234.6,18182.9,target,25.849999999998545,50.0,0.5169999999999709,2024
2024-05-20,2024-05-20 13:50:00+00:00,2024-05-20 16:51:00+00:00,18669.0,18706.4,18619.0,18706.4,18636.6,18561.8,target,37.400000000001455,50.0,0.7480000000000291,2024
2024-05-21,2024-05-21 13:50:00+00:00,2024-05-21 14:30:00+00:00,18645.6,18663.35,18607.0,18663.35,18642.5,18607.0,target,17.75,38.599999999998545,0.45984455958550957,2024
2024-05-22,2024-05-22 15:00:00+00:00,2024-05-22 17:37:00+00:00,18760.7,18720.2,18720.2,18779.35,18757.5,18720.2,stop,-40.5,40.5,-1.0,2024
2024-05-24,2024-05-24 14:00:00+00:00,2024-05-24 14:15:00+00:00,18717.6,18739.25,18669.6,18739.25,18712.9,18669.6,target,21.650000000001455,48.0,0.451041666666697,2024
2024-05-27,2024-05-27 15:00:00+00:00,2024-05-27 15:33:00+00:00,18857.5,18873.95,18821.8,18873.95,18854.7,18821.8,target,16.450000000000728,35.70000000000073,0.46078431372550116,2024
2024-05-29,2024-05-29 13:50:00+00:00,2024-05-29 14:34:00+00:00,18791.6,18818.75,18741.6,18818.75,18765.3,18711.0,target,27.150000000001455,50.0,0.5430000000000291,2024
2024-06-05,2024-06-05 14:00:00+00:00,2024-06-05 14:24:00+00:00,18816.3,18834.4,18779.0,18834.4,18815.2,18779.0,target,18.100000000002183,37.29999999999927,0.48525469168907603,2024
2024-06-07,2024-06-07 13:45:00+00:00,2024-06-07 13:51:00+00:00,19003.7,19026.2,18958.6,19026.2,19003.6,18958.6,target,22.5,45.10000000000218,0.498891352549865,2024
2024-06-10,2024-06-10 14:25:00+00:00,2024-06-10 14:54:00+00:00,19009.5,19032.25,18959.5,19032.25,18998.0,18952.5,target,22.75,50.0,0.455,2024
2024-06-12,2024-06-12 13:45:00+00:00,2024-06-12 18:00:00+00:00,19474.5,19424.5,19424.5,19527.55,19461.0,19354.9,stop,-50.0,50.0,-1.0,2024
2024-06-14,2024-06-14 13:45:00+00:00,2024-06-14 14:24:00+00:00,19603.5,19626.75,19553.5,19626.75,19583.8,19537.3,target,23.25,50.0,0.465,2024
2024-06-25,2024-06-25 14:00:00+00:00,2024-06-25 14:32:00+00:00,19627.0,19651.15,19577.0,19651.15,19592.9,19544.6,target,24.150000000001455,50.0,0.48300000000002913,2024
2024-06-26,2024-06-26 13:45:00+00:00,2024-06-26 13:52:00+00:00,19732.5,19749.75,19682.5,19749.75,19709.0,19674.5,target,17.25,50.0,0.345,2024
2024-06-28,2024-06-28 13:45:00+00:00,2024-06-28 14:00:00+00:00,19885.8,19918.65,19835.8,19918.65,19865.5,19799.8,target,32.85000000000218,50.0,0.6570000000000437,2024
2024-07-02,2024-07-02 14:35:00+00:00,2024-07-02 15:37:00+00:00,19876.1,19933.3,19826.1,19933.3,19867.9,19753.5,target,57.20000000000073,50.0,1.1440000000000146,2024
2024-07-03,2024-07-03 13:45:00+00:00,2024-07-03 14:17:00+00:00,20054.8,20079.35,20004.9,20079.35,20054.0,20004.9,target,24.549999999999272,49.89999999999782,0.4919839679358787,2024
2024-07-05,2024-07-05 13:55:00+00:00,2024-07-05 14:02:00+00:00,20305.4,20332.6,20255.4,20332.6,20286.1,20231.7,target,27.19999999999709,50.0,0.5439999999999418,2024
2024-07-08,2024-07-08 15:20:00+00:00,2024-07-08 19:55:00+00:00,20458.9,20480.850000000002,20408.9,20480.850000000002,20445.2,20401.3,target,21.950000000000728,50.0,0.43900000000001455,2024
2024-07-10,2024-07-10 13:45:00+00:00,2024-07-10 14:59:00+00:00,20580.0,20530.0,20530.0,20603.050000000003,20572.7,20526.6,stop,-50.0,50.0,-1.0,2024
2024-07-12,2024-07-12 13:45:00+00:00,2024-07-12 13:56:00+00:00,20307.1,20332.899999999998,20257.1,20332.899999999998,20290.3,20238.7,target,25.799999999999272,50.0,0.5159999999999855,2024
2024-07-15,2024-07-15 14:00:00+00:00,2024-07-15 14:31:00+00:00,20487.8,20522.25,20437.8,20522.25,20487.2,20418.3,target,34.45000000000073,50.0,0.6890000000000146,2024
2024-07-22,2024-07-22 13:45:00+00:00,2024-07-22 13:57:00+00:00,19864.0,19814.0,19814.0,19911.9,19822.4,19726.6,stop,-50.0,50.0,-1.0,2024
2024-07-23,2024-07-23 15:10:00+00:00,2024-07-23 16:22:00+00:00,19901.8,19851.8,19851.8,19951.15,19881.7,19783.0,stop,-50.0,50.0,-1.0,2024
2024-07-29,2024-07-29 13:55:00+00:00,2024-07-29 14:07:00+00:00,19227.5,19177.5,19177.5,19287.3,19211.6,19092.0,stop,-50.0,50.0,-1.0,2024
2024-07-31,2024-07-31 14:05:00+00:00,2024-07-31 15:30:00+00:00,19318.9,19369.15,19268.9,19369.15,19286.0,19185.5,target,50.25,50.0,1.005,2024
2024-08-13,2024-08-13 13:45:00+00:00,2024-08-13 14:47:00+00:00,18815.0,18850.25,18765.0,18850.25,18801.3,18730.8,target,35.25,50.0,0.705,2024
2024-08-16,2024-08-16 14:05:00+00:00,2024-08-16 14:18:00+00:00,19459.4,19494.9,19409.4,19494.9,19446.6,19375.6,target,35.5,50.0,0.71,2024
2024-08-19,2024-08-19 13:45:00+00:00,2024-08-19 14:02:00+00:00,19540.1,19490.1,19490.1,19575.55,19536.5,19465.6,stop,-50.0,50.0,-1.0,2024
2024-08-20,2024-08-20 13:45:00+00:00,2024-08-20 13:55:00+00:00,19803.9,19833.9,19753.9,19833.9,19800.3,19740.3,target,30.0,50.0,0.6,2024
2024-08-21,2024-08-21 13:50:00+00:00,2024-08-21 14:00:00+00:00,19789.6,19812.75,19739.6,19812.75,19785.6,19739.3,target,23.150000000001455,50.0,0.4630000000000291,2024
2024-08-23,2024-08-23 14:00:00+00:00,2024-08-23 14:06:00+00:00,19776.1,19726.1,19726.1,19804.449999999997,19694.3,19637.6,stop,-50.0,50.0,-1.0,2024
2024-08-27,2024-08-27 13:50:00+00:00,2024-08-27 14:24:00+00:00,19491.7,19533.2,19441.7,19533.2,19479.9,19396.9,target,41.5,50.0,0.83,2024
2024-08-30,2024-08-30 13:50:00+00:00,2024-08-30 14:00:00+00:00,19531.1,19562.05,19481.1,19562.05,19524.4,19462.5,target,30.950000000000728,50.0,0.6190000000000145,2024
2024-09-04,2024-09-04 13:45:00+00:00,2024-09-04 14:00:00+00:00,18947.5,18897.5,18897.5,18999.9,18928.0,18823.2,stop,-50.0,50.0,-1.0,2024
2024-09-09,2024-09-09 13:55:00+00:00,2024-09-09 14:21:00+00:00,18662.5,18612.5,18612.5,18695.85,18647.4,18580.7,stop,-50.0,50.0,-1.0,2024
2024-09-13,2024-09-13 14:05:00+00:00,2024-09-13 14:30:00+00:00,19491.6,19441.6,19441.6,19542.15,19484.4,19383.3,stop,-50.0,50.0,-1.0,2024
2024-09-16,2024-09-16 14:00:00+00:00,2024-09-16 14:26:00+00:00,19439.4,19389.4,19389.4,19496.5,19436.1,19321.9,stop,-50.0,50.0,-1.0,2024
2024-09-23,2024-09-23 13:45:00+00:00,2024-09-23 14:00:00+00:00,19883.6,19833.6,19833.6,19910.399999999998,19869.1,19815.5,stop,-50.0,50.0,-1.0,2024
2024-09-25,2024-09-25 13:55:00+00:00,2024-09-25 14:15:00+00:00,20023.2,20055.4,19973.2,20055.4,19996.2,19931.8,target,32.20000000000073,50.0,0.6440000000000146,2024
2024-10-02,2024-10-02 14:15:00+00:00,2024-10-02 15:17:00+00:00,19804.6,19869.6,19754.6,19869.6,19774.0,19644.0,target,65.0,50.0,1.3,2024
2024-10-08,2024-10-08 13:50:00+00:00,2024-10-08 14:00:00+00:00,19963.8,19986.25,19913.8,19986.25,19939.9,19895.0,target,22.450000000000728,50.0,0.44900000000001455,2024
2024-10-09,2024-10-09 14:10:00+00:00,2024-10-09 14:20:00+00:00,20128.3,20157.9,20078.3,20157.9,20126.7,20067.5,target,29.600000000002183,50.0,0.5920000000000436,2024
2024-10-11,2024-10-11 13:45:00+00:00,2024-10-11 14:06:00+00:00,20191.4,20209.800000000003,20148.0,20209.800000000003,20184.8,20148.0,target,18.400000000001455,43.400000000001455,0.4239631336405723,2024
2024-10-14,2024-10-14 13:45:00+00:00,2024-10-14 14:00:00+00:00,20480.9,20513.950000000004,20430.9,20513.950000000004,20449.4,20383.3,target,33.05000000000291,50.0,0.6610000000000582,2024
2024-10-18,2024-10-18 14:05:00+00:00,2024-10-18 14:54:00+00:00,20367.0,20317.0,20317.0,20401.0,20355.3,20287.3,stop,-50.0,50.0,-1.0,2024
2024-10-21,2024-10-21 13:45:00+00:00,2024-10-21 14:06:00+00:00,20352.4,20384.85,20302.4,20384.85,20350.3,20285.4,target,32.44999999999709,50.0,0.6489999999999418,2024
2024-10-22,2024-10-22 13:50:00+00:00,2024-10-22 14:06:00+00:00,20327.1,20371.199999999997,20277.1,20371.199999999997,20322.9,20234.7,target,44.099999999998545,50.0,0.8819999999999709,2024
2024-10-25,2024-10-25 13:45:00+00:00,2024-10-25 14:00:00+00:00,20487.9,20536.85,20437.9,20536.85,20461.8,20363.9,target,48.94999999999709,50.0,0.9789999999999418,2024
2024-10-29,2024-10-29 14:00:00+00:00,2024-10-29 14:24:00+00:00,20415.9,20462.4,20365.9,20462.4,20410.7,20317.7,target,46.5,50.0,0.93,2024
