date,direction,entry_time,exit_time,entry_price,exit_price,stop,or_high,or_low,atr14,rel_vol,outcome,pnl_pts,risk_pts,r,year
2021-12-13,short,2021-12-13 14:34:00+00:00,2021-12-13 14:35:00+00:00,16298.9,16330.164285714285,16330.164285714285,16355.5,16298.9,312.642857142857,1.113894080996885,stop,-31.264285714285506,31.264285714285506,-1.0,2021
2021-12-14,long,2021-12-14 14:34:00+00:00,2021-12-14 15:02:00+00:00,15949.0,15917.507142857143,15917.507142857143,15949.0,15872.9,314.92857142857116,1.108893655382511,stop,-31.492857142857247,31.492857142857247,-1.0,2021
2021-12-16,short,2021-12-16 14:34:00+00:00,2021-12-16 20:59:00+00:00,16299.3,15878.3,16334.432857142856,16348.3,16299.3,351.3285714285712,1.0184295108070651,eod,421.0,35.132857142856665,11.983084617574269,2021
2021-12-17,long,2021-12-17 14:34:00+00:00,2021-12-17 14:49:00+00:00,15805.3,15767.984285714285,15767.984285714285,15805.3,15705.6,373.1571428571428,1.0360272638753651,stop,-37.31571428571442,37.31571428571442,-1.0,2021
2021-12-20,long,2021-12-20 14:34:00+00:00,2021-12-20 14:35:00+00:00,15621.8,15586.87357142857,15586.87357142857,15621.8,15559.6,349.2642857142855,1.0548426114405405,stop,-34.926428571428914,34.926428571428914,-1.0,2021
2021-12-21,short,2021-12-21 14:34:00+00:00,2021-12-21 16:41:00+00:00,15765.6,15798.445714285715,15798.445714285715,15812.1,15765.6,328.4571428571427,1.0057684384013186,stop,-32.845714285715076,32.845714285715076,-1.0,2021
2022-01-05,short,2022-01-05 14:34:00+00:00,2022-01-05 14:36:00+00:00,16124.0,16147.406428571428,16147.406428571428,16224.0,16124.0,234.06428571428543,1.155050410169704,stop,-23.406428571428478,23.406428571428478,-1.0,2022
2022-01-06,long,2022-01-06 14:34:00+00:00,2022-01-06 14:49:00+00:00,15806.9,15780.824999999999,15780.824999999999,15806.9,15682.8,260.7499999999996,1.0767565561603167,stop,-26.075000000000728,26.075000000000728,-1.0,2022
2022-01-07,short,2022-01-07 14:34:00+00:00,2022-01-07 14:39:00+00:00,15711.1,15737.283571428572,15737.283571428572,15786.0,15711.1,261.83571428571383,1.0990233650636667,stop,-26.183571428571668,26.183571428571668,-1.0,2022
2022-01-10,short,2022-01-10 14:34:00+00:00,2022-01-10 14:40:00+00:00,15321.7,15346.110714285714,15346.110714285714,15424.7,15321.7,244.10714285714235,1.086698777324935,stop,-24.410714285713766,24.410714285713766,-1.0,2022
2022-01-11,short,2022-01-11 14:34:00+00:00,2022-01-11 14:41:00+00:00,15518.6,15545.202857142858,15545.202857142858,15586.9,15518.6,266.0285714285709,1.0322121924075678,stop,-26.60285714285783,26.60285714285783,-1.0,2022
2022-01-14,long,2022-01-14 14:34:00+00:00,2022-01-14 14:35:00+00:00,15470.0,15438.831428571428,15438.831428571428,15470.0,15393.6,311.6857142857137,1.0467736428815295,stop,-31.16857142857225,31.16857142857225,-1.0,2022
2022-01-18,short,2022-01-18 14:34:00+00:00,2022-01-18 14:41:00+00:00,15304.6,15336.719285714285,15336.719285714285,15383.7,15304.6,321.19285714285655,1.0400948687542064,stop,-32.11928571428507,32.11928571428507,-1.0,2022
2022-01-21,long,2022-01-21 14:34:00+00:00,2022-01-21 16:31:00+00:00,14830.0,14792.463571428572,14792.463571428572,14830.0,14718.7,375.3642857142855,1.0822898596435893,stop,-37.53642857142768,37.53642857142768,-1.0,2022
2022-01-24,short,2022-01-24 14:34:00+00:00,2022-01-24 14:46:00+00:00,14157.0,14192.52642857143,14192.52642857143,14239.7,14157.0,355.2642857142856,1.1316012160340991,stop,-35.52642857142928,35.52642857142928,-1.0,2022
2022-01-25,short,2022-01-25 14:34:00+00:00,2022-01-25 15:35:00+00:00,14196.7,14236.150714285715,14236.150714285715,14277.4,14196.7,394.50714285714275,1.178628783199506,stop,-39.45071428571464,39.45071428571464,-1.0,2022
2022-01-26,short,2022-01-26 14:34:00+00:00,2022-01-26 14:53:00+00:00,14423.1,14465.267142857143,14465.267142857143,14511.9,14423.1,421.6714285714285,1.0153675587447262,stop,-42.16714285714261,42.16714285714261,-1.0,2022
2022-01-27,short,2022-01-27 14:34:00+00:00,2022-01-27 14:43:00+00:00,14290.9,14335.048571428571,14335.048571428571,14360.3,14290.9,441.4857142857142,1.0848820309842604,stop,-44.14857142857181,44.14857142857181,-1.0,2022
2022-01-28,short,2022-01-28 14:34:00+00:00,2022-01-28 15:19:00+00:00,13981.6,14026.879285714285,14026.879285714285,14114.1,13981.6,452.79285714285703,1.131960996749729,stop,-45.279285714284924,45.279285714284924,-1.0,2022
2022-02-01,short,2022-02-01 14:34:00+00:00,2022-02-01 16:14:00+00:00,14880.0,14926.409285714286,14926.409285714286,14965.2,14880.0,464.0928571428573,1.0265771479842827,stop,-46.40928571428594,46.40928571428594,-1.0,2022
2022-02-03,long,2022-02-03 14:34:00+00:00,2022-02-03 14:55:00+00:00,14758.2,14707.775714285715,14707.775714285715,14758.2,14692.4,504.24285714285736,1.022813337027801,stop,-50.42428571428536,50.42428571428536,-1.0,2022
2022-02-09,short,2022-02-09 14:34:00+00:00,2022-02-09 15:36:00+00:00,14901.4,14948.077857142856,14948.077857142856,14947.9,14901.4,466.7785714285715,1.0023459539717892,stop,-46.67785714285674,46.67785714285674,-1.0,2022
2022-02-10,long,2022-02-10 14:34:00+00:00,2022-02-10 18:35:00+00:00,14802.7,14760.006428571429,14760.006428571429,14802.7,14746.0,426.9357142857143,1.0436731444074194,stop,-42.693571428571886,42.693571428571886,-1.0,2022
2022-02-14,long,2022-02-14 14:34:00+00:00,2022-02-14 14:45:00+00:00,14270.0,14232.041428571429,14232.041428571429,14270.0,14191.6,379.5857142857146,1.0863756731827783,stop,-37.958571428571304,37.958571428571304,-1.0,2022
2022-02-22,long,2022-02-22 14:34:00+00:00,2022-02-22 14:40:00+00:00,13938.9,13903.475,13903.475,13938.9,13876.8,354.25,1.0553866828784437,stop,-35.42499999999927,35.42499999999927,-1.0,2022
2022-02-24,long,2022-02-24 14:34:00+00:00,2022-02-24 20:59:00+00:00,13219.1,13970.7,13176.190714285714,13219.1,13063.8,429.0928571428571,1.1644527355183172,eod,751.6000000000004,42.90928571428594,17.516022173022737,2022
2022-02-25,short,2022-02-25 14:34:00+00:00,2022-02-25 14:49:00+00:00,13924.1,13971.385714285714,13971.385714285714,14005.5,13924.1,472.85714285714283,1.0505127715141092,stop,-47.285714285713766,47.285714285713766,-1.0,2022
